Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
15:38:11,27-02-2022,27.81,37.28,963.15,33.503254,72.867691,111.03
15:38:13,27-02-2022,27.8,37.27,963.17,33.503624,72.868187,111.14
15:38:15,27-02-2022,27.8,37.26,963.13,33.503998,72.868683,110.21
15:38:17,27-02-2022,27.81,37.26,963.17,33.504372,72.869164,110.34
15:38:19,27-02-2022,27.81,37.26,963.08,33.504745,72.869652,110.58
15:38:21,27-02-2022,27.8,37.26,962.79,33.505123,72.87014,110.84
15:38:23,27-02-2022,27.81,37.26,962.69,33.505505,72.870621,110.51
15:38:25,27-02-2022,27.81,37.26,962.75,33.50589,72.871101,110.68
15:38:27,27-02-2022,27.81,37.27,962.75,33.506271,72.871574,109.75
15:38:29,27-02-2022,27.81,37.29,962.72,33.506657,72.872055,110.92
15:38:31,27-02-2022,27.81,37.28,962.84,33.50705,72.872528,110.64
15:38:33,27-02-2022,27.81,37.22,962.71,33.507442,72.873001,111.47
15:38:35,27-02-2022,27.81,37.2,962.83,33.507839,72.873466,111.56
15:38:37,27-02-2022,27.81,37.2,962.94,33.508244,72.87394,112.88
15:38:39,27-02-2022,27.81,37.19,963.06,33.508656,72.874405,113.29
15:38:41,27-02-2022,27.82,37.18,963.15,33.509071,72.874878,113.81
15:38:43,27-02-2022,27.82,37.19,963.13,33.509487,72.875343,113.23
15:38:45,27-02-2022,27.81,37.19,963.12,33.509907,72.875809,113.53
15:38:47,27-02-2022,27.82,37.2,963.14,33.510326,72.876274,114.49
15:38:50,27-02-2022,27.81,37.24,962.95,33.51096,72.876968,113.94
15:38:52,27-02-2022,27.82,37.25,963.04,33.511379,72.877426,112.88
15:38:54,27-02-2022,27.82,37.27,962.87,33.511791,72.877884,112.29
15:38:56,27-02-2022,27.82,37.28,962.77,33.512203,72.878334,110.66
15:38:58,27-02-2022,27.82,37.31,962.71,33.512611,72.878777,109.9
15:39:00,27-02-2022,27.82,37.33,962.58,33.513016,72.879211,108.9
15:39:02,27-02-2022,27.82,37.33,962.64,33.51342,72.879646,108.64
15:39:04,27-02-2022,27.82,37.34,962.66,33.513821,72.880089,108.51
15:39:06,27-02-2022,27.82,37.34,962.66,33.514225,72.880524,109.71
15:39:08,27-02-2022,27.82,37.35,962.6,33.514633,72.880966,110.62
15:39:10,27-02-2022,27.82,37.36,962.73,33.515045,72.881416,111.97
15:39:12,27-02-2022,27.82,37.38,962.7,33.515461,72.881874,112.93
15:39:14,27-02-2022,27.82,37.39,962.8,33.515881,72.882332,113.95
15:39:16,27-02-2022,27.82,37.4,962.9,33.516304,72.882797,114.18
